CONFIDENTIAL GBP MASTER PRICE LIST 1 JANUARY 2025 - CURRENT PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK AVAILABILITY,,,,,,,,,,,,
"We aim for 100% immediAUe ex-stock availability of all products in this price list, with the exception of 'bespoke' products/items - which may have a short lead time (please ask for this when placing your order).",,,,,,,,,,,,
,,,,,,,,,,,,
BACKEYE360 Select - Complete Systems,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,7146,VBV-3121C,"Select Camera, Compact Flush-mount Eyeball Camera HD (Normal Image) 1080p 30fps",198.22,178.39,158.57,138.75,128.84,118.93,109.02,99.11,83.25
A,7145,VBV-3120C,"Select Camera, Compact Flush-mount Eyeball Camera HD (Normal Image) 1080p 25fps",198.22,178.39,158.57,138.75,128.84,118.93,109.02,99.11,83.25
A,7144,VBV-3101C,"Select Camera, Compact Flush-mount Eyeball Camera HD (Mirror Image) 1080p 30fps",198.22,178.39,158.57,138.75,128.84,118.93,109.02,99.11,83.25
A,7143,VBV-3100C,"Select Camera, Compact Flush-mount Eyeball Camera HD (Mirror Image) 1080p 25fps",198.22,178.39,158.57,138.75,128.84,118.93,109.02,99.11,83.25
A,4395A,VBV-070C,"Select Camera, Van Camera Kit (Mirror Image) (PAL)",191.82,172.64,153.46,134.28,124.68,115.09,105.50,95.91,80.57
A,3683B,VBV-620C,"Essential Camera, IP67,  White Boxed (PAL)",89.75,80.78,71.80,62.83,58.34,53.85,49.36,44.88,37.70
A,3683C,VBV-620C,"Essential Camera, IP67,  White Boxed (PAL) CMOS",89.76,80.78,71.81,62.83,58.34,53.85,49.37,44.88,37.70
A,3684B,VBV-621C,"Essential Camera, IP67,  White Boxed (NTSC)",89.75,80.78,71.80,62.83,58.34,53.85,49.36,44.88,37.70
A,3684C,VBV-621C,"Essential Camera, IP67,  White Boxed (NTSC) CMOS",89.75,80.78,71.80,62.83,58.34,53.85,49.36,44.88,37.70
A,5493A,VBV-790C(CO),VBV-790C Camera with Conduit,199.07,179.16,159.25,139.35,129.39,119.44,109.49,99.53,83.61
A,6315,VBV-790C(OG),"Select Camera, Waterproof to IP69K - No Audio (PAL)",162.49,146.24,129.99,113.74,105.62,97.49,89.37,81.24,68.25
A,S5772,VBV-630C,"Essential Camera, IP67,  White Boxed (PAL)",123.51,111.16,98.81,86.46,80.28,74.11,67.93,61.75,51.87
A,S5817,VBV-631C,"Essential Camera, IP67,  White Boxed (NTSC)",123.51,111.16,98.81,86.46,80.28,74.11,67.93,61.75,51.87
A,S7596,VBV-6132C,1080P AHD Camera PAL/NTSC (MCY),85.28,76.75,68.22,59.70,55.43,51.17,46.90,42.64,35.82
A,8078,VBV-6132C-C,1080P AHD Camera PAL/NTSC (MCY) Camera Only,85.28,76.75,68.22,59.70,55.43,51.17,46.90,42.64,35.82
A,7321,VBV-2220C-AI-D04,AI-Pedestrian Detection (1080p) Forward Facing Camera,502.39,452.15,401.91,351.67,326.55,301.44,276.32,251.20,226.08
A,7396,VBV-2230C-AI-D04,AI-Pedestrian Detection (1080p) Rear Facing Camera,520.66,468.59,416.53,364.46,338.43,312.40,286.36,260.33,234.30
B,334-0050-00,PF-30N-500,PathFindIR II Camera - Automatic Detection - 30Hz,5818.61,4654.89,4654.89,4363.96,4073.03,4073.03,4073.03,4073.03,3054.77
B,334-0052-00,PF-30N-520,PathFindIR II Camera - 30Hz,4721.34,3777.07,3777.07,3541.01,3304.94,3304.94,3304.94,3304.94,2478.71
B,334-0054-00,PF-075N-540,PathFindIR II Camera - Automatic Detection - 7.5Hz,5818.61,4654.89,4654.89,4363.96,4073.03,4073.03,4073.03,4073.03,3054.77
B,334-0056-00,PF-075N-560,PathFindIR II Camera - 7.5Hz,4721.34,3777.07,3777.07,3541.01,3304.94,3304.94,3304.94,3304.94,2478.71
,,,,,,,,,,,,
Camera Optional Extras,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,4596,SM-3XX-25,"CMS Option, BE-300 - Surface Mounting Spacer (25mm Deep)",10.68,9.61,8.55,7.48,6.94,6.41,5.88,5.34,4.49
A,5003,MD-50SM-30,MD-5X - Surface Mounting Adapter (30mm Deep),11.68,10.51,9.34,8.17,7.59,7.01,6.42,5.84,5.25
A,5005,MD-50AM-25,MD-5X - Surface Mounting Adapter (25° Angled),15.96,14.36,12.77,11.17,10.37,9.57,8.78,7.98,7.18
A,5004,MD-50AM-15,MD-5X - Surface Mounting Adapter (15° Angled),12.48,11.23,9.99,8.74,8.11,7.49,6.87,6.24,5.62
D,4125,BKT-019,"CMS Option, Bracket 'Junction Assist' Housing for BE-800C",188.49,169.64,150.79,131.94,122.52,113.09,103.67,94.24,84.82
D,4126,BKT-019MP,"CMS Option, Bracket Mounting Plate for BKT-017",69.87,62.88,55.89,48.91,45.41,41.92,38.43,34.93,31.44
D,4125,BKT-019,"CMS Option, Bracket 'Junction Assist' Housing for BE-800C",188.49,169.64,150.79,131.94,122.52,113.09,103.67,94.24,84.82
D,4126,BKT-019MP,"CMS Option, Bracket Mounting Plate for BKT-017",69.87,62.88,55.89,48.91,45.41,41.92,38.43,34.93,31.44
A,4962,PFM-001,"CMS Option, PathfindIR II Mounting Bracket",77.93,70.14,62.34,54.55,50.65,46.76,42.86,38.96,37.48
A,261-2270-00,261-2270-00,"PathfindIR II Mounting Bracket, ECU",77.93,70.14,62.34,54.55,50.65,46.76,42.86,38.96,38.22
A,4963,AC-065,"CMS Adapter Cable, PathfindIR Camera Cable to RCA Input  (BNC to RCA)",7.08,6.38,5.67,4.96,4.60,4.25,3.90,3.54,3.19
A,4563,RCA,RCA Extension Cable,4.33,3.90,3.46,3.03,2.81,2.60,2.38,2.16,1.95
A,A2704,AC-021,"CMS Adapter Cable, PathfindIR Camera to Elite Cable",18.33,16.50,14.67,12.83,11.92,11.00,10.08,9.17,8.25
A,5782,VBV-3XXC-FIX M2.5x10mm,Camera Housing Fixings,1.86,1.68,1.49,1.30,1.21,1.12,1.02,0.93,0.84
A,3044B,SS-002,"CMS Option, Select Twin Camera Screen Splitter - Shutter Enabled (12-24v)",229.98,206.98,183.99,160.99,149.49,137.99,126.49,114.99,103.49
A,7178,SS-H002,"CMS Option, AHD Twin Camera Screen Splitter - Shutter Enabled (12-24v)",229.98,206.98,183.99,160.99,149.49,137.99,126.49,114.99,103.49
,,,,,,,,,,,,
Monitors,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,3560,BE-970WFM,"Elite Monitor, 7 Inch LCD, 4 Inputs, Audio, IP69K",992.09,892.88,793.67,694.46,644.86,595.25,545.65,496.04,446.44
A,A3351,BE-970WM,"Elite Monitor, 7 Inch LCD, 2 Inputs, Audio, IP69K",789.16,710.24,631.33,552.41,512.95,473.50,434.04,394.58,355.12
A,2146B,BE-870FM,"Elite Monitor, 7 Inch LCD, 4 Inputs, Audio",912.48,821.23,729.98,638.73,593.11,547.49,501.86,456.24,410.61
A,2626B,BE-870FM(FB),"Elite Monitor, 7 Inch LCD, 4 Inputs, Audio with Frame Bracket",744.51,670.06,595.61,521.16,483.93,446.71,409.48,372.26,335.03
A,2705B,BE-870LM,"Elite Monitor, 7 Inch LCD, 2 Inputs, Audio",475.02,427.51,380.01,332.51,308.76,285.01,261.26,237.51,213.76
A,6380,BE-870HM,"Elite Monitor, 7 Inch AHD, 2 Inputs, Audio",561.77,505.59,449.41,393.24,365.15,337.06,308.97,280.88,252.79
A,3756,BE-856GM,"Elite Monitor, 5.6 Inch LCD, 2 Inputs, Audio",605.64,545.08,484.51,423.95,393.67,363.39,333.10,302.82,272.54
A,,VBV-900HM,Select 9 Inch HD Monitor from Stonkam,659.39,593.45,527.51,461.57,428.60,395.63,362.66,329.69,296.73
A,6057,VBV-7104HFM,"Select Monitor, 10.4 Inch AHD, 4 Inputs, Audio",933.76,840.39,747.01,653.63,606.94,560.26,513.57,466.88,392.18
A,6057A,VBV-7104HFM,"Select Monitor, 10.4 Inch AHD, 4 Inputs, Audio",933.76,840.39,747.01,653.63,606.94,560.26,513.57,466.88,392.18
A,4288A,VBV-770M,"Select Monitor, 7 Inch LCD, 3 Inputs, Audio",371.57,334.41,297.26,260.10,241.52,222.94,204.36,185.78,156.06
A,4982A,VBV-770FM,"Select Monitor, 7 Inch LCD, 4 Inputs, Audio",639.22,575.29,511.37,447.45,415.49,383.53,351.57,319.61,268.47
A,7204,VBV-770HFM,"Select Monitor, 7 Inch AHD, 4 Inputs, Audio",718.19,646.37,574.55,502.73,466.82,430.92,395.01,359.10,301.64
A,7659,VBV-770HFM-HP,"Select Monitor, 7 Inch AHD Quad Monitor, High Performance",818.30,736.47,654.64,572.81,531.90,490.98,450.06,409.15,343.69
A,7629,VBV-770HFM(2DC),"Select Monitor, 7 Inch AHD with Deutsch Connectors on Cable Adaptor",794.07,714.66,635.26,555.85,516.15,476.44,436.74,397.04,333.51
A,6384,VBV-770M(EX-BKT|),"Select Monitor, 7 Inch LCD, 3 Inputs, Audio Without Fan Bracket",350.48,315.44,280.39,245.34,227.81,210.29,192.77,175.24,147.20
A,5949,VBV-770M(DC),VBV-770M with DTM Connector added to CA,475.30,427.77,380.24,332.71,308.94,285.18,261.41,237.65,199.63
A,5611,VBV-770HM,"Select Monitor, 7 Inch LCD High Resolution, AHD Compatible, 3 Inputs, Audio",374.19,336.77,299.35,261.93,243.22,224.51,205.80,187.09,157.16
A,5611A,VBV-770HM,"Select Monitor, 7 Inch LCD High Resolution, AHD Compatible, 3 Inputs, Audio",374.19,336.77,299.35,261.93,243.22,224.51,205.80,187.09,157.16
A,6212,VBV-770HM(TA),"Select Monitor, 7 Inch AHD, 3 Inputs, Audio (Turn Assist)",368.64,331.78,294.91,258.05,239.62,221.18,202.75,184.32,154.83
A,6212A,VBV-770HM(TA),"Select Monitor, 7 Inch AHD, 3 Inputs, Audio (Turn Assist)",384.22,345.80,307.38,268.95,249.74,230.53,211.32,192.11,161.37
A,4287A,VBV-750M,"Select Monitor, 5 Inch LCD, 3 Inputs, Audio",329.25,296.32,263.40,230.47,214.01,197.55,181.09,164.62,138.28
F,4289A,VBV-650M,"CMS Essential, 5 Inch LCD, Single Camera - Small Rigids (PAL) - White Box",269.26,242.33,215.40,188.48,175.02,161.55,148.09,134.63,113.09
A,5323,VBV-243M,"Select Monitor, 4.3 Inch LCD Mirror Monitor, 2 Input",292.50,263.25,234.00,204.75,190.13,175.50,160.88,146.25,122.85
A,S7598,VBV-6170M,"Select Monitor, 7 Inch",180.30,162.27,144.24,126.21,117.20,108.18,99.17,90.15,75.73
A,8079,VBV-6170M-M,"Select Monitor, 7 Inch Monior Only",180.30,162.27,144.24,126.21,117.20,108.18,99.17,90.15,75.73
,,,,,,,,,,,,
Monitors - Optional Extras,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,A1906,BMM-011,"Monitor Option, Heavy Duty Mount for BE-856EM",25.76,23.19,20.61,18.03,16.75,15.46,14.17,12.88,11.59
A,A2161,BMM-013,"Monitor Option, Elite Fan Mount Bracket for BE-870EM/FM",40.98,36.88,32.78,28.68,26.63,24.59,22.54,20.49,17.21
A,S3148A,BMM-015 ,"Monitor Option, Short Arm Bracket for VBV-750BM/VBV-770BM",15.95,14.35,12.76,11.16,10.36,9.57,8.77,7.97,6.70
A,3199,BMM-018,"Monitor Option, U Bracket for VBV-770DM ",7.30,6.57,5.84,5.11,4.74,4.38,4.01,3.65,3.06
A,S3209,BMM-019,"Monitor Option, Short Arm Bracket for VBV-750BM/VBV-770BM",16.60,14.94,13.28,11.62,10.79,9.96,9.13,8.30,6.97
A,S3348,BMM-019-ARM,"Monitor Option, Monitor Mount, Long Arm for BMM-015 ",6.38,5.74,5.10,4.47,4.15,3.83,3.51,3.19,2.68
A,4322,BMM-015-PAD,"Monitor Option, Adhesive Pad for BMM-015",2.19,1.97,1.75,1.53,1.42,1.31,1.20,1.09,0.92
A,3145,BMM-022,"Monitor Option, Select Monitor Bracket ",40.98,36.88,32.78,28.68,26.63,24.59,22.54,20.49,17.21
A,4465,BMM-023 ,"Monitor Option, U Bracket for VBV-7104M",14.66,13.20,11.73,10.27,9.53,8.80,8.07,7.33,6.16
A,4947,BMM-024 ,"Monitor Option, Flushmount Bracket for VBV-770M",27.92,25.13,22.34,19.55,18.15,16.75,15.36,13.96,11.73
A,4994,BMM-025,"Monitor Option, U Bracket for VBV-750EM",5.23,4.70,4.18,3.66,3.40,3.14,2.88,2.61,2.20
A,7549,BMM-026,RAVO Housing Bracket,45.56,41.00,36.45,31.89,29.61,27.34,25.06,22.78,20.50
A,2891,BE-JB800E,"Monitor Spare Part, BE-8XXXM-PC Power Cable & BE-8XXXM - CA Cable Adapter combined",121.52,109.37,97.22,85.06,78.99,72.91,66.84,60.76,54.68
A,5814,RAM-B-408-75-1-BRG1,RAM Arm Assembly for VBV Monitor,95.91,86.32,76.73,67.14,62.34,57.55,52.75,47.96,43.16
A,6358,RAM-B-408-75-1-BRG3,"CMS Option,RAM Mount Arm, Clamp and 1 Inch Ball",95.91,86.32,76.73,67.14,62.34,57.55,52.75,47.96,43.16
A,6119,VBV-770M(DIN),VBV-770M with DIN 9680 Connector added to Cable Adaptor,458.30,412.47,366.64,320.81,297.89,274.98,252.06,229.15,192.49
A,3283,VBV-7X0DM RC,"Monitor Option, Remote Control for VBV-700",6.22,5.60,4.98,4.36,4.05,3.73,3.42,3.11,2.61
A,S2890,BE-RC800,"Monitor Option, Remote Control for BE-800 Series",23.32,20.99,18.66,16.32,15.16,13.99,12.83,11.66,9.79
A,3184,VBV-7X0DM RT,"Monitor Option, Flushmount Release Tool for BMM-016 & BMM-017",0.80,0.72,0.64,0.56,0.52,0.48,0.44,0.40,0.33
A,5367,BKT-020,"CMS Option, Bracket Mounting for VBV-243M",13.94,12.55,11.15,9.76,9.06,8.37,7.67,6.97,6.27
A,5733,VBV-7X0M-CH(AMP),"Monitor Option, VBV-770M  Cable Harness",71.11,64.00,56.89,49.78,46.22,42.67,39.11,35.56,29.87
A,6240,BKT-VBV-BZ,UDS Buzzer Bracker for Select Monitors,17.71,15.93,14.16,12.39,11.51,10.62,9.74,8.85,7.97
,,,,,,,,,,,,
Brigade Lite Product Range,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,7151,BL-2120C,"Brigade Lite, Forward Facing 720p Camera, AHD",96.11,86.49,76.88,67.27,62.47,57.66,52.86,48.05,40.36
A,7152,BL-2130C,"Brigade Lite, Rear Number Plate Camera, 720p AHD",133.40,120.06,106.72,93.38,86.71,80.04,73.37,66.70,56.03
A,7150,BL-240D-256-SD,"Brigade Lite, 4 Channel MDR with 256GB SD Car, GPS, 4G, G-Sensor",570.90,513.81,456.72,399.63,371.09,342.54,314.00,285.45,239.78
A,7153,BL-270HM,"Brigade Lite, Mirror Monitor 7 Inch, ADH, 2 Inputs, 2 Audio",157.57,141.81,126.05,110.30,102.42,94.54,86.66,78.78,66.18
A,7298,BL-270HM-015,"Brigade Lite,Mirror Monitor Kit  with BMM-015",180.11,162.10,144.09,126.08,117.07,108.06,99.06,90.05,72.88
,,,,,,,,,,,,
Digital Wireless Connection,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,7088,DW-2000TX,AHD Digital Wireless Transmitter (PAL),155.18,139.66,124.14,108.63,100.87,93.11,85.35,77.59,69.83
A,7089,DW-2000RX,AHD Digital Wireless Receiver (PAL),161.41,145.27,129.13,112.99,104.92,96.85,88.77,80.70,72.63
A,4043,DW-1000TX,Wireless Camera Connection System - Transmitter,127.52,114.77,102.01,89.26,82.89,76.51,70.14,63.76,57.38
A,4044,DW-1000RX,Wireless Camera Connection System - Receiver,106.27,95.64,85.01,74.39,69.07,63.76,58.45,53.13,47.82
A,4282,DW-1001TX,Wireless Camera Connection System - Transmitter (FCC Approved),127.52,114.77,102.01,89.26,82.89,76.51,70.14,63.76,57.38
A,4283,DW-1001RX,Wireless Camera Connection System - Receiver (FCC Approved),106.27,95.64,85.01,74.39,69.07,63.76,58.45,53.13,47.82
,,,,,,,,,,,,
Retractable Cables Kits,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,A1830,SK-31E,"Coiled Cable Kit, Elite, Unique Pin Layout",214.90,193.41,171.92,150.43,139.68,128.94,118.19,107.45,104.49
A,G1886,SK-31E-T,"Coiled Cable Kit, Elite, Trailer Only Section of SK-31E & SK-50E ",86.98,78.28,69.59,60.89,56.54,52.19,47.84,43.49,44.17
A,G1144,SK-30E,"Coiled Cable Kit, Elite CMS",211.51,190.36,169.21,148.06,137.48,126.91,116.33,105.76,104.21
A,A1885,SK-30E-T,"Coiled Cable Kit, Elite, Trailer Only Section of SK-30E",86.98,78.28,69.59,60.89,56.54,52.19,47.84,43.49,44.17
A,A1570,SK-50E,"Coiled Cable Kit, Elite, Twin Camera - Drawbar Truck/Trailer",320.84,288.75,256.67,224.59,208.54,192.50,176.46,160.42,159.43
A,K1879,SK-50E-A,"Coiled Cable Kit, Elite, Truck-Only Section of SK-50E ",233.87,210.48,187.10,163.71,152.01,140.32,128.63,116.93,115.26
A,D3427,SK-15-01,"Coiled Cable Kit, Elite, 3 Camera, 15 Pin",458.95,413.06,367.16,321.27,298.32,275.37,252.42,229.48,209.97
A,D3423,SP-15A-01,"Coiled Cables Kit Part, 15-Pin B/head Socket for Truck",120.43,108.39,96.35,84.30,78.28,72.26,66.24,60.22,54.20
A,D3422,SP-15B-01,"Coiled Cables Kit Part, 15-Pin B/head Socket for Trailer",120.43,108.39,96.35,84.30,78.28,72.26,66.24,60.22,54.20
A,3997,SK-15-04,"Coiled Cable Kit, Elite for 1 Camera + Ultrasonic Detection System, 15 Pin",420.04,378.03,336.03,294.02,273.02,252.02,231.02,210.02,189.02
A,3955,SP-15A-04,"Coiled Cables Kit Part, 15-Pin B/head Socket for Truck",97.16,87.44,77.73,68.01,63.15,58.29,53.44,48.58,43.72
A,3956,SP-15B-04,"Coiled Cables Kit Part, 15-Pin B/head Socket for Trailer",97.16,87.44,77.73,68.01,63.15,58.29,53.44,48.58,43.72
A,5066,SK-15-05,"Coiled Cable Kit, BN360, 3 x Cams, 15 Pin",453.08,407.77,362.47,317.16,294.50,271.85,249.20,226.54,213.26
A,5064,SP-15A-05,"Coiled Cables Kit Part, 15-Pin B/head Socket for Truck",124.10,111.69,99.28,86.87,80.66,74.46,68.25,62.05,55.84
A,5065,SP-15B-05,"Coiled Cables Kit Part, 15-Pin B/head Socket for Trailer",124.10,111.69,99.28,86.87,80.66,74.46,68.25,62.05,55.84
A,D3268A,SC-15-01,"Coiled Cables Kit Part, Coiled Cable, 15-Pin Plugs, 12 Core Cable (6 Shielded)",225.72,203.15,180.58,158.00,146.72,135.43,124.15,112.86,101.57
A,1571A,CS-020,"Coiled Cables Kit Part, Elite, Two-Way Camera Selector",85.01,76.51,68.01,59.51,55.26,51.01,46.76,42.51,38.26
A,A1140,SP-07C,"Coiled Cables Kit Part, 7-Pin B/Head Socket for Truck",45.31,40.78,36.25,31.72,29.45,27.19,24.92,22.66,20.39
A,7564,SP-07C,"Coiled Cables Kit Part, 7-Pin B/Head Plug ",65.20,58.68,52.16,45.64,42.38,39.12,35.86,32.60,29.34
A,A1142,SP-07T,"Coiled Cables Kit Part, 7-Pin B/Head Socket for Trailer",45.31,40.78,36.25,31.72,29.45,27.19,24.92,22.66,20.39
A,7565,SP-07T,"Coiled Cables Kit Part, B/Head Plug ",65.20,58.68,52.16,45.64,42.38,39.12,35.86,32.60,29.34
A,5529,SP-07ABS-R02,"Coiled Cables Kit Part, 7-Pin ABS Suzie Socket ",83.29,74.96,66.63,58.30,54.14,49.97,45.81,41.64,37.48
A,5530,SP-07ABS-R01,"Coiled Cables Kit Part, 7-Pin ABS Suzie Socket ",83.29,74.96,66.63,58.30,54.14,49.97,45.81,41.64,37.48
A,A1827A,SP-7A,"Coiled Cables Kit Part, 7-Pin B/Head Socket for Truck",45.31,40.78,36.25,31.72,29.45,27.19,24.92,22.66,20.39
A,7566,SP-7A,"Coiled Cables Kit Part, 7-Pin B/Head Socket for Truck",65.20,58.68,52.16,45.64,42.38,39.12,35.86,32.60,29.34
A,A1828A,SP-7B,"Coiled Cables Kit Part, 7-Pin B/Head Socket for Trailer",45.31,40.78,36.25,31.72,29.45,27.19,24.92,22.66,20.39
A,7567,SP-7B,"Coiled Cables Kit Part, 7-Pin B/Head Socket for Truck",65.20,58.68,52.16,45.64,42.38,39.12,35.86,32.60,29.34
A,A1829,SC-7,"Coiled Cables Kit Part, Coiled Cable, 7-Pin Plugs (Unique Pin Layout)",54.05,48.65,43.24,37.84,35.13,32.43,29.73,27.03,24.32
A,A1046,SC-07,"Coiled Cables Kit Part, Coiled Cable, 7-Pin Plugs",53.44,48.10,42.75,37.41,34.74,32.06,29.39,26.72,24.05
A,S1057,SP-10,Retractable Cables Kit Part 10-Pin B/Head Socket with Protective Boot,107.95,97.16,86.36,75.57,70.17,64.77,59.37,53.98,48.58
A,G2539,VSK-31E,"Coiled Cable Kit, Select, Unique Pin Layout",185.32,166.79,148.25,129.72,120.46,111.19,101.92,92.66,83.39
A,G2543,VSK-31E-T,"Coiled Cable Kit, Select, Trailer Only Section of VSK-31E & VSK-50E",61.43,55.29,49.14,43.00,39.93,36.86,33.79,30.72,37.02
A,A2538,VSK-30E,"Coiled Cable Kit, Select CMS",133.12,119.81,106.49,93.18,86.53,79.87,73.21,66.56,68.94
A,G2542,VSK-30E-T,"Coiled Cable Kit, Select, Trailer Only Section of VSK-30E ",48.91,44.02,39.13,34.24,31.79,29.35,26.90,24.46,24.34
A,G2540,VSK-50E,"Coiled Cable Kit, Select, Twin Camera - Drawbar Truck/Trailer",238.59,214.73,190.87,167.01,155.08,143.16,131.23,119.30,136.58
A,G2541,VSK-50E-A,"Coiled Cable Kit, Select, Truck-Only Section of VSK-50E ",189.68,170.72,151.75,132.78,123.29,113.81,104.33,94.84,112.24
A,A1847,VSP-47A,"Coiled Cables Kit Part, 7-Pin B/head Socket for Truck - for VSK-30E/VSK-50E",31.72,28.55,25.38,22.20,20.62,19.03,17.45,15.86,15.03
A,A1846,VSP-47B,"Coiled Cables Kit Part, 7-Pin B/head Socket for Trailer - for VSK-30E/VSK-50E",31.72,28.55,25.38,22.20,20.62,19.03,17.45,15.86,14.27
A,4744,VSP-47ABS-C,"Coiled Cables Kit Part, 7-Pin B/head Socket for Truck/Cab (ABS socket) Select",77.93,70.14,62.34,54.55,50.65,46.76,42.86,38.96,36.69
A,4745,VSP-47ABS-T,"Coiled Cables Kit Part, 7-Pin B/head Socket for Trailer (ABS socket) Select",85.01,76.51,68.01,59.51,55.26,51.01,46.76,42.51,38.26
A,4748,SP-07ABS-C,"Coiled Cables Kit Part, 7-Pin B/head Socket for Truck (ABS socket) Elite",93.51,84.16,74.81,65.46,60.78,56.11,51.43,46.76,44.75
A,4749,SP-07ABS-T,"Coiled Cables Kit Part, 7-Pin B/head Socket for Trailer (ABS socket) Elite",94.93,85.44,75.94,66.45,61.70,56.96,52.21,47.47,42.72
A,4750,SC-07ABS,"Coiled Cables Kit Part: Coiled Cable, 7-Pin plugs, ABS",168.90,152.01,135.12,118.23,109.79,101.34,92.90,84.45,82.66
A,A1227,SC-07-24S,"Coiled Cables Kit Part, Coiled Cable With Type 24S 7-Pin Plugs",51.96,46.76,41.57,36.37,33.77,31.17,28.58,25.98,23.38
A,1844A,VCS-020,"Coiled Cables Kit Part: Select, Two-Way Camera Selector",132.45,119.20,105.96,92.71,86.09,79.47,72.85,66.22,59.60
A,4219,SK-UDS-05,"Coiled Cable Kit, Select, Single Ultrasonic Detection System",128.47,115.62,102.77,89.93,83.50,77.08,70.66,64.23,58.48
A,4237,SP-UDS-57A,"Coiled Cables Kit Part, B/head Socket for Truck, Pigtails + SK-UDS-05 Connector",38.26,34.43,30.60,26.78,24.87,22.95,21.04,19.13,17.22
A,4564,SP-UDS-57A+2,"Coiled Cables Kit Part, B/head Socket for Truck/Cab, Pigtails + Connector + 2 wires",41.80,37.62,33.44,29.26,27.17,25.08,22.99,20.90,18.81
A,4238,SP-UDS-57B,"Coiled Cables Kit Part, B/head Socket for Trailer, Pigtails + SK-UDS-05 Connector",38.26,34.43,30.60,26.78,24.87,22.95,21.04,19.13,17.22
A,4565,SP-UDS-57B+2,"Coiled Cables Kit Part, B/head Socket for Trailer, Pigtails + Connector + 2 wires",41.80,37.62,33.44,29.26,27.17,25.08,22.99,20.90,18.81
A,4218,SC-UDS-05,"Coiled Cables Kit Part, Coiled Cable With Blue 7-Pin Plugs",53.44,48.10,42.75,37.41,34.74,32.06,29.39,26.72,24.05
A,5376,BKT-021,"Coiled Cables Kit Part, Bracket - Bent",30.34,27.30,24.27,21.23,19.72,18.20,16.68,15.17,13.65
A,5377,BKT-022,"Coiled Cables Kit Part, Bracket - Flat",27.24,24.52,21.79,19.07,17.71,16.34,14.98,13.62,12.26
,,,,,,,,,,,,
Camera Cables,,,,,,,,,,,,
SAC,PART NO.,MODEL,DESCRIPTION,GBP FLEET USER,1T,2T,3T,4T,5T,6T,7T,NDB GBP
A,A0800,BE-L130,Elite Camera Extension Cable - 30m,64.97,58.47,51.97,45.48,42.23,38.98,35.73,32.48,29.23
A,A0801,BE-L120,Elite Camera Extension Cable - 20m,48.21,43.39,38.57,33.75,31.34,28.93,26.52,24.11,21.70
A,A0802,BE-L115,Elite Camera Extension Cable - 15m,40.69,36.62,32.55,28.48,26.45,24.41,22.38,20.34,18.31
A,A0803,BE-L110,Elite Camera Extension Cable - 10m,34.66,31.19,27.73,24.26,22.53,20.80,19.06,17.33,15.60
F,F3008,BE-L112,Elite Camera Extension Cable - 12m,37.50,33.75,30.00,26.25,24.38,22.50,20.63,18.75,16.88
F,F3007,BE-L108,Elite Camera Extension Cable - 8m,33.21,29.89,26.57,23.25,21.59,19.92,18.26,16.60,14.94
A,A0804,BE-L105,Elite Camera Extension Cable - 5m,30.02,27.02,24.02,21.02,19.51,18.01,16.51,15.01,13.51
A,5042,BE-L101,Elite Camera Extension Cable - 1m,22.34,20.11,17.87,15.64,14.52,13.40,12.29,11.17,10.05
A,A2797,BE-L1003,Elite Camera Extension Cable - 30cm,9.08,8.17,7.26,6.35,5.90,5.45,4.99,4.54,4.08
A,A1907,BE-X025,Elite Camera Extension Cable - 25m,70.71,63.64,56.57,49.50,45.96,42.43,38.89,35.35,31.82
A,A1143,BE-X020,Elite Camera Extension Cable - 20m,52.85,47.56,42.28,36.99,34.35,31.71,29.07,26.42,23.78
A,A2101,BE-X015,Elite Camera Extension Cable - 15m,51.05,45.95,40.84,35.74,33.19,30.63,28.08,25.53,22.97
A,A2100,BE-X010,Elite Camera Extension Cable - 10m,41.09,36.98,32.87,28.76,26.71,24.65,22.60,20.55,18.49
A,A2099,BE-X005,Elite Camera Extension Cable - 5m,31.07,27.96,24.86,21.75,20.19,18.64,17.09,15.53,13.98
A,A0805,BE-X003,Elite Camera Extension Cable - 3m,30.02,27.02,24.02,21.02,19.51,18.01,16.51,15.01,13.51
A,A2178A,BE-XM005F,Elite Camera Extension Cable - 5m,80.33,72.30,64.26,56.23,52.21,48.20,44.18,40.16,36.15
